SKU,Item name,Shop Section,Price,Materials Cost,Time to make,Date listed,Listing Title,Listing Link
3DprintCustom,Comissioned design,3DPrinting,,,,,,
HellrsrCube,Hellraiser lament Cube,3DPrinting,$40.00,,,06/11/21,HellRaiser (1987) Lament and Leviathan,
HellrsrLevi,Hellraiser Leviathan w/stand,3DPrinting,$20.00,,,06/11/21,HellRaiser (1987) Lament and Leviathan,
GooniesSet,Copper Bones & Doubloon,3DPrinting,$20.00,,,03/28/19,Goonies Cosplay Props,
GooniesKey,Copper Bones only,3DPrinting,$12.00,,,03/28/19,Goonies Cosplay Props,
GooniesDbln,Doubloon Only,3DPrinting,$10.00,,,03/28/19,Goonies Cosplay Props,
CRLNSET,Coraline Stone & Key set,3DPrinting,$18.00,,,12/12/19,Coraline Seeing Stone and Button Key,
CRLNStone,Coraline Seeing Stone,3DPrinting,$12.00,,,12/12/19,Coraline Seeing Stone and Button Key,
CRLNKey,Coraline Button Key,3DPrinting,$8.50,,,12/12/19,Coraline Seeing Stone and Button Key,
CRLNTinySet,Tiny stone & Key set,3DPrinting,$15.00,,,12/12/19,Coraline Seeing Stone and Button Key,
DrgnSlyrAm,Dragonslayer Amulet,3DPrinting,$25.00,,,10/10/21,Dragonslayer Amulet,
SupesSm,Superman Sm Fortress,3DPrinting,$12.50,,,12/13/19,Bastion of Ice-olation,
SupesTealt,Superman Md fortress,3DPrinting,$25.00,,,12/13/19,Bastion of Ice-olation,
SupesLg2part,Superman lg fortress,3DPrinting,$75.00,,,12/13/19,Bastion of Ice-olation,
LgNCTOtab,Large Encanto Tablet,3DPrinting,$45.00,,,02/12/22,"Encanto Prophecy Tablet (Large, Fragmented, Glow in the Dark)",
SmNCTOtab,Mini Encanto Tablet,3DPrinting,$11.00,,,06/16/23,Encanto Prophecy Tablet (Mini whole version),
NCTOCandle,Encanto 2-pt candle,3DPrinting,$35.00,,,03/19/22,Twinkling Encanto LED Candle,
BisonWstl,AtLA Bison Whistle,3DPrinting,$14.00,,,07/09/21,Air Nomad Silent Bison Whistle,
NESphinxLgOrg,Lg orange Sphinx Pair,3DPrinting,$60.00,,,11/08/18,3d printed Guardian Sphinx,
NESphinxLgBlu,Lg Southern Oracle blue,3DPrinting,$60.00,,,11/08/18,3d printed Guardian Sphinx,
NESphinxSmOrg,Sm orange sphinx pair,3DPrinting,$40.00,,,11/08/18,3d printed Guardian Sphinx,
NESphinxSmBlu,Sm Southern oracle blue,3DPrinting,$40.00,,,11/08/18,3d printed Guardian Sphinx,
Supr8Cube,Cubical Alien part,3DPrinting,$18.00,,,08/02/20,Super 8 Alien Component,
Supr8Star,Stellatted Alien part,3DPrinting,$18.00,,,08/02/20,Super 8 Alien Component,
HellKeySm,Key to Hell (sm black),3DPrinting,$8.00,,,03/26/20,Sandman - Key to Hell,
HellKeyLgBlk,Key to Hell (lg black),3DPrinting,$12.00,,,03/26/20,Sandman - Key to Hell,
HellKeyLgNeut,Key to Hell (unpainted),3DPrinting,$10.00,,,03/26/20,Sandman - Key to Hell,
DkCryLgPurp,Lg Dark Shard,3DPrinting,$10.00,,,09/27/19,Dark Crystal Shard,
DkCryLgWht,Lg Truth Shard,3DPrinting,$10.00,,,09/27/19,Dark Crystal Shard,
DkCrySmPurp,Sm Dark shard,3DPrinting,$8.00,,,09/27/19,Dark Crystal Shard,
DkCrySmWht,Sm Crystal of Truth shard,3DPrinting,$8.00,,,09/27/19,Dark Crystal Shard,
DrmStnLite,Lightup Materiopticon Ruby,3DPrinting,$35.00,,,09/09/21,Sandman Light-up Dreamstone Ruby,
DrmStnReg,Non-lighted ruby,3DPrinting,$30.00,,,09/09/21,Sandman Light-up Dreamstone Ruby,
AFSTL,AF battle pack stand files,Action Fleet,$3.00,N/A,,03/30/24,Action Fleet Battle Pack stands and accessories 3D Printable files,
AFbaseSTL,AF display stand files,Action Fleet,$3.00,N/A,,02/04/24,Action Fleet Replacement stand 3D Printable files,
AFSlv1Blk,AF Slave 1 stand black,Action Fleet,$2.50,,,06/10/23,B-Wing & Slave-1 Flight Stand (for 1996 Micro Machines Star Wars Action Fleet versions),
AFSlv1Clr,AF Slave 1 stand clear,Action Fleet,$2.50,,,06/10/23,B-Wing & Slave-1 Flight Stand (for 1996 Micro Machines Star Wars Action Fleet versions),
AFBwngBlk,AF Bwing stand black,Action Fleet,$2.50,,,06/10/23,B-Wing & Slave-1 Flight Stand (for 1996 Micro Machines Star Wars Action Fleet versions),
AFBwngClr,AF Bwing stand clear,Action Fleet,$2.50,,,06/10/23,B-Wing & Slave-1 Flight Stand (for 1996 Micro Machines Star Wars Action Fleet versions),
AFLaddrNCrate,AF Ladder & Crate set,Action Fleet,$2.50,,,04/12/24,Action Fleet accessories,
AFstandV2,AF display stand upgrade,Action Fleet,$4.50,,,02/03/24,3D printed Star Wars Micro Machines Action Fleet replacement stand,
AFstandSet,AF display stand pack (5),Action Fleet,$20.00,,,02/03/24,3D printed Star Wars Micro Machines Action Fleet replacement stand,
AFBP3mm,AF Battlepack stand 3mm peg,Action Fleet,$2.00,,,02/24/24,"3D Printed Star Wars Action Fleet replacement ""Battle Pack"" Stands",
AFBP2pt7mm,AF Battlepack stand 2.7mm peg,Action Fleet,$2.00,,,02/24/24,"3D Printed Star Wars Action Fleet replacement ""Battle Pack"" Stands",
BofferWeapon,Boffer item,Boffer,,,,,,
LamentSTL,Hellraiser Box File,Digital STLs,$5.00,N/A,,12/02/19,Hellraiser (1987) Puzzle box 3D printable STL file,
NESphinxSTL,Neverending Sphinx File,Digital STLs,$8.00,N/A,,12/02/19,Neverending Story Sphinx 3D printable STL file,
JZWMGSStandSTL,Custom MGS stand files,Digital STLs,$3.00,N/A,,,,
MGSJediStandSTL,MGS Jedi Ships stand files,Digital STLs,$3.00,N/A,,04/05/23,Jedi ship 3D Printable Flight Stand files for Micro Galaxy Squadron,
MGSmandoSTL,MGS Mandalorian stand files,Digital STLs,$3.00,N/A,,06/30/23,Mandalorian Ships 3D Printable Flight Stand files for Micro Galaxy Squadron,
MGSfigSTL,MGS Ladder/Crate/fig base files,Digital STLs,$3.00,N/A,,05/11/24,Figure Accessories 3D Printable files (for Star Wars Micro Galaxy Squadron),
MGSHeavyImpSTL,MGS Lambda &AtAt files,Digital STLs,$3.00,N/A,,08/13/23,Imperial Transports 3D Printable Stand files for Micro Galaxy Squadron,
MGSV1StandSTL,MGS V1 stand files,Digital STLs,$2.00,N/A,,03/18/23,Version 1 collection 3D Printable Flight Stand files (for Micro Galaxy Squadron),
MGSTIE&InqSTL,MGS Tie & Inq stand files,Digital STLs,$2.50,N/A,,05/05/23,Sith Collection 3D Printable Flight Stand files for Micro Galaxy Squadron,
MGSalphaSTL,MGS Alphabet ships files,Digital STLs,$3.00,N/A,,01/26/24,Alphabet Starfighter 3D Printable Flight Stand files (for Micro Galaxy Squadron),
MGSHvyCloneSTL,MGS LAAT & marauder files,Digital STLs,$2.50,N/A,,01/26/24,Heavy Clone Vehicles 3D Printable Flight Stand files (for Micro Galaxy Squadron),
MGSFastJunkSTL,MGS Falcon & speedr files,Digital STLs,$2.50,N/A,,06/02/23,Fast Hunks 'o Junk 3D Printable Flight Stand files (for Micro Galaxy Squadron),
MGSsepartistSTL,MGS Separtist ships files,Digital STLs,$3.00,N/A,,09/15/23,Separtist ships 3D Printable Flight Stand files (for Micro Galaxy Squadron),
HOCustom,Custom Hood ornament,HoodOrnaments,$25.00,,,,,
HOSith,Sith Emblem,HoodOrnaments,$20.00,,,03/19/20,"Star Wars ""Universal"" Hood Ornaments",
HOMando,Mando Helm,HoodOrnaments,$25.00,,,03/19/24,"Star Wars ""Universal"" Hood Ornaments",
HOMudHorn,Mudhorn Skull,HoodOrnaments,$25.00,,,03/19/24,"Star Wars ""Universal"" Hood Ornaments",
HOMythSr,Mythosaur Skull,HoodOrnaments,$25.00,,,03/19/24,"Star Wars ""Universal"" Hood Ornaments",
HOFlameSkull,Flaming Skull,HoodOrnaments,$25.00,,,01/12/18,"Flaming Skull ""Universal"" Hood Ornament",
HORktr,Rocketeer,HoodOrnaments,$20.00,,,08/05/23,"Rocketeer Helmet ""Universal"" Hood Ornament",
GBHoodOrn,Ghostly Ecto,HoodOrnaments,$25.00,,,04/10/18,"Paranormal ""Universal"" Hood Ornaments",
SPNHoodOrn,Supernatural Devil's Trap,HoodOrnaments,$20.00,,,04/15/23,"Paranormal ""Universal"" Hood Ornaments",
HOAutobot,Autobot Emblem,HoodOrnaments,$20.00,,,02/18/21,"Transformers ""Universal"" Hood Ornament",
HODecep,Decepticon Emblem,HoodOrnaments,$20.00,,,02/18/21,"Transformers ""Universal"" Hood Ornament",
HOWrecker,Wrecker Emblem,HoodOrnaments,$20.00,,,08/15/23,"Transformers ""Universal"" Hood Ornament",
HOBluShell,MarioKart Blue Shell,HoodOrnaments,$25.00,,,07/09/21,"Video Game ""Universal"" Hood Ornament",
HOHyrule,Hylian Crest,HoodOrnaments,$25.00,,,07/09/21,"Video Game ""Universal"" Hood Ornament",
HOKoRL,WW King of Red Lions,HoodOrnaments,$25.00,,,07/09/21,"Video Game ""Universal"" Hood Ornament",
MonkeeMag,Monkees Logo,Magnets,$8.50,,,02/08/19,Monkees Guitar Logo magnet,
ConanMag,Snakes of Set,Magnets,$6.00,,,02/21/19,Snakes of Set 3D printed Magnet,
Sku's,Clean & Dirty Magnet,Magnets,$9.00,,,07/03/17,3D printed Magnetic Clean/Dirty indicator,
TFRotBmag,Transformers Rise of the Beasts,Magnets,$8.00,,,exp,Transformers Rise of the Beasts Magnets,
MGSCustom,Custom MGS stand,MGS,,,,,,
MGSEndrATAT,MGS Endor AT-AT base,MGS,$4.00,,,11/02/23,Endor AT-AT Battle 3D Printed Diorama stand (for Micro Galaxy Squadron),
MGSBntaClr,MGS Boonta Podracer stand (clear),MGS,$2.50,,,11/30/23,Boonta Eve Podracer 3D Printed Stand (for Star Wars Micro Galaxy Squadron),
MGSBntaBlk,MGS Boonta Podracer stand (black),MGS,$2.50,,,11/30/23,Boonta Eve Podracer 3D Printed Stand (for Star Wars Micro Galaxy Squadron),
MGSFettstdClr,MGS Fett Firespray stand (clear),MGS,$3.50,,,03/19/23,Mandalorian collection 3D Printed Flight Stands (for Micro Galaxy Squadron),
MGSGntltBlk,MGS Gauntlet stand (black),MGS,$3.00,,,03/19/23,Mandalorian collection 3D Printed Flight Stands (for Micro Galaxy Squadron),
